string_id,pt_br,en_us,fr_fr
startup_msg,MyGameStudio versão ,MyGameStudio version ,MyGameStudio version 
sys_init,Inicializando sistemas...,Initializing systems...,Initialisation du système...
sys_init_ready,Todos os sistemas prontos!,All systems ready!,Tous les systèmes sont prêts!
sys_shutdown,Desligando...,Shutting down...,Arrêt du système...
total_run_time,Tempo total de execução: ,Total execution time: ,Temps d'exécution total: 
lang_selected,Linguagem selecionada: ,Language selected: ,Langue sélecionnée: 
help_command,Ajuda:\nComandos disponíveis:\n - help: Ajuda em geral\n - chlang: Mudar a linguagem de display\n - import: Importar um recurso (asset)\n - clear_asset_db: Apagar a base de dados de recursos\n - quit: Sair do console,Help:\nCommands available:\n - help: General help\n - chlang: Change display language\n - import: Import asset\n - clear_asset_db: Clear the asset database\n - quit: Quit the console,Aide:\nCommandes disponibles:\n - help: Aide générale\n - chlang: Changer la langue d'affichage\n - import: Importer des ressources\n - clear_asset_db: Effacer base de donées de ressources\n - quit: Quitter la console
quit_console,Saindo do console...,Quitting console...,Quitter la console...
language_changed,Linguagem modificada: ,Language modified: ,Langue modifiée: 
language_not_found,Linguagem não encontrada: ,Language not found: ,Langue introuvable: 
invalid_parameter,Parâmetros inválidos. Utilização correta:,Invalid parameters. Correct utilization:,Paramètres invalides. Utilisation correcte:
use_chlang,"chlang lang={Linguagem desejada}","chlang lang={Desired language}","chlang lang={Langue desirée}"
asset_import,Importando recurso... ,Importing asset... ,Importation de la ressource... 
not_triangulated,Modelo 3D não triangulado. Por favor configure sua ferramenta DCC para exportar o modelo utilizando triângulos.,3D Model not triangulated. Please configure your DCC tool to export your model using triangles.,Modèle 3D non triangulé. Veuillez configurer votre outil DCC pour exporter votre modéle avec des triangles.
use_import,"import file={Caminho do arquivo}","import file={Filepath}","import file={Chemin du fichier}"
asset_register_db,Registrando recurso na base de dados...,Registering asset to the database...,Enregistrement de la ressource dans la base de données...
asset_register_db_success,Recurso registrado com sucesso! Novo ID: ,Asset registered successfully! New ID: ,Ressource enregistrée avec succès! Nouveau ID: 
asset_clear_db,Base de dados de recursos apagada!,Asset database cleared!,Base de donées de ressources effacée!
asset_clear_db_confirmation,Deseja apagar a base de dados de recursos? Ela não poderá ser recuperada.,Do you wish to clear the asset database? It cannot be recovered,Voulez-vous effacer la base de donées de ressources? Elle ne peut pas être récuperée.
